,고시원 이름,평수,총 방 갯수,총 욕실 갯수,주차 공간,보증금,월 임대료,관리비,매물 총액,인근 지하철,인근 대학교
0,서울 강동구 00동,261,개,개,00 대,3천,360,None,13800,None,None
1,서울 서초구 00동,.,50 개,개,00 대,,.,None,2억2천,None,None
2,서울 동대문구 00동,.,개,개,00 대,,.,None,2억8천,None,None
3,서울 노원구 00동,150.24,34 개,33 개,00 대,8000,420,없음,2억,None,None
4,서울 구로구 00동,80.1,27 개,10 개,00 대,5000,360,없음,9500,None,None
5,서울 동대문구 00동,210.31,31 개,15 개,00 대,3000,262,없음,9500,None,None
6,서울 강동구 00동,75평,개,개,00 대,3000,350,None,15000,None,None
7,서울 도봉구 00동,329.91,29 개,29 개,2 대,5천,440,사용량에따라,2억7천,None,None
8,서울 동작구 00동,351.87,36 개,6 개,00 대,4000,250,없음,1억,None,None
9,서울 노원구 00동,287.84,42 개,4 개,1 대,5500,390,없음,6500,None,None
10,서울 강동구 00동,265.95,31 개,31 개,1 대,5천,340,사용량에따라,2억4천,None,None
11,서울 송파구 00동,974.36,40 개,30 개,2 대,5000,450,사용량에따라,26000,None,None
12,서울 금천구 00동,75평,개,개,00 대,2000,220,None,14000,None,None
13,서울 동작구 00동,217,개,개,00 대,3000,200,없음,7000,None,None
14,서울 구로구 00동,400,개,개,00 대,7000,450,None,1억3000,None,None
15,서울 종로구 00동,250,개,개,00 대,8000,520,없음,1억8000,None,None
16,서울 강남구 00동,403.ㅓ 3,개,개,00 대,8500,546,46,22000,None,None
17,서울 동대문구 00동,174,22 개,개,00 대,None,None,None,12,None,None
18,서울 구로구 00동,340,40 개,20 개,00 대,5000,400,None,1억5000,None,None
19,서울 영등포구 00동,330,39 개,15 개,00 대,3200,370,None,1억3000,None,None
20,서울 관악구 00동,230,29 개,개,00 대,4000,240,30,6500,None,None
21,서울 강남구 00동,496,50 개,개,00 대,15000,1050,None,38000,None,None
22,서울 강북구 00동,310,45 개,개,00 대,3천,290,30,8천5백,None,None
23,서울 성북구 00동,290,40 개,개,00 대,3천,220,None,1억1천,None,None
24,서울 중랑구 00동,290,34 개,개,00 대,5천,340,40,1억1천,None,None
25,서울 구로구 00동,265,30 개,개,00 대,3천,220,30,1억3천,None,None
26,서울 강동구 00동,261,31 개,개,00 대,3000,403,포함,13800,None,None
27,서울 송파구 00동,330,35 개,개,00 대,5000,470,사용량에 따라,22000,None,None
28,서울 동작구 상도동,.,15 개,개,00 대,1500,85,None,8500,None,None
29,서울 강서구 화곡동,.,40 개,개,00 대,2000,308,None,1억,None,None
30,서울 강남구 서초동,340.6,36 개,개,00 대,4000,400,60,3억,None,None
