순번,지역,주소,인근 지하철,고시원명,빈방,총 방갯수,월세,식사 제공,주차 제공,남녀 구분,층 분리,공실률,,,지역 평균 공실률,
1,서대문구,서울 서대문구 증가로 130,N,대일고시원,0,40,월세  20~30,Y,N,공용,N,0.00%,,,단위(%),단위(개)
2,동작구,서울 동작구 노량진로14가길 8,1호선 노량진역,상아탑고시원,0,34,월세  45~55,Y,N,공용,N,0.00%,,강남구,2.99,235
3,마포구,서울 마포구 신촌로8길 5,2호선 홍대입구역,소호리빙텔 홍대신촌점,0,46,월세  26~47,Y,4,공용,Y,0.00%,,강동구,1.89,76
4,광진구,서울 광진구 군자로 100,7호선 어린이대공원역,해피존고시텔,0,40,월세  18~28,Y,4,공용,N,0.00%,,강북구,1.84,42
5,광진구,서울 광진구 능동로 378,7호선 중곡역,리빙캐슬 중곡점,0,38,월세  35~45,Y,5,공용,N,0.00%,,강서구,1.56,45
6,동작구,서울 동작구 남부순환로271가길 2,2호선 사당역,싱글하우스 사당점,0,60,월세  27~30,Y,2,공용,N,0.00%,,관악구,3.32,124
7,동대문구,서울 동대문구 사가정로2길 139,5호선 답십리역,노블레지던스 답십리역점,0,26,월세  40~60,Y,N,공용,Y,0.00%,,광진구,3.51,99
8,노원구,서울 노원구 석계로 95 월계1동 411-53,1호선 광운대역,리빙캐슬 광운대점,1,37,월세  26~45,Y,2,공용,N,2.70%,,구로구,2.46,57
9,노원구,서울 노원구 석계로15길 25,1호선 광운대역,한일고시원,0,36,월세  22~35,Y,3,공용,N,0.00%,,금천구,1.08,31
10,관악구,서울 관악구 대학14길 69 ,N,청학고시원,1,36,월세  15~23,Y,N,남성전용,N,2.78%,,노원구,4.36,58
11,관악구,서울 관악구 신원로 16,2호선 신림역,한빛고시원,0,30,월세  22~22,Y,100,남성전용,N,0.00%,,도봉구,0.46,17
12,동작구,서울 동작구 사당로29가길 47,4호선 총신대입구(이수)역,허브리빙텔 이수총신대역점,1,43,월세  25~48,Y,5,공용,N,2.33%,,동대문구,2.62,90
13,은평구,서울 은평구 통일로 915,3호선 연신내역,하이고시텔,0,66,월세  20~27,Y,2,공용,N,0.00%,,동작구,3.94,236
