고시원 이름,평수,총 방 갯수,총 욕실 갯수,주차 공간,보증금,월 임대료,관리비,매물 총액,인근 지하철,인근 대학교,보증금 전처리,매물 총액 전처리,방 갯수 전처리,월 임대료 전처리,관리비 전처리,지역별 평균 월세,TC(총영업비용),FC(고정비용),VC(변동비용),회수기간_상,회수기간_중,회수기간_하,연수익매출_상,연수익매출_중,연수익매출_하,월수익매출_상,월수익매출_중,월수익매출_하,연순수익_상,연순수익_중,연순수익_하,월순수익_상,월순수익_중,월순수익_하,순수익률_상,순수익률_중,순수익률_하
서울 중구 명동,330, 30 개, 원30 개,00 대,3천 만원,220,20,합2억7천,-선택사항- ,-선택사항-     ,3000,27000,30,220,20,41,27000,61,100,2.9,3.3,4.2,10200,10200,10200,950,850,700,9468,8268,6468,789,689,539,35,30,23
서울 구로구 대림역,360, 40 개, 원26 개,1 대,4천 만원,380,30,합1억7천,-선택사항- ,-선택사항-     ,4000,17000,40,380,30,36,17000,66,133,4.5,5.4,7.9,5520,5520,5520,514,460,379,3780,3132,2160,315,261,180,22,18,12
서울 동작구 노량진동,430, 24 개, 큰24 개,1 대,7천 만원,280,30,합2억4천,-선택사항- ,-선택사항-     ,7000,24000,24,280,30,38,24000,68,80,3.8,4.4,5.8,7224,7224,7224,672,602,495,6288,5448,4164,524,454,347,26,22,17
서울 광진구 구의동,420, 42 개, 42 개,1 대,4천 만원,475,60,합3억2천,-선택사항- ,-선택사항-     ,4000,32000,42,475,60,39,32000,99,140,3.1,3.5,4.6,11892,11892,11892,1108,991,816,10428,9024,6924,869,752,577,32,28,21
서울 중랑구 상봉동,390, 30 개, 원30 개,1 대,5천 만원,370,10,합2억7천,-선택사항- ,-선택사항-     ,5000,27000,30,370,10,32,27000,42,100,3.1,3.5,4.5,9348,9348,9348,870,779,641,8736,7644,5988,728,637,499,32,28,22
서울 강남구 도곡역,370, 40 개, 문의 개,1 대,6천 만원,330,0,합2억7천,-선택사항- ,-선택사항-     ,6000,27000,40,330,0,48,27000,48,133,3.5,4,5.2,8916,8916,8916,831,743,612,7800,6744,5172,650,562,431,28,24,19
서울 마포구 00동,430, 39 개, 39 개,00 대,11000 만원,540,0,3억2천,-선택사항- ,-선택사항-     ,11000,32000,39,540,0,40,32000,40,130,4,4.7,6,8916,8916,8916,831,743,612,7932,6876,5304,661,573,442,24,21,16
서울 동대문구 00동,. ,  개,  개,00 대, 만원, . ,0,2억8천,-선택사항- ,-선택사항-     ,0,28000,0,0,0,37,28000,40,130,4,4.7,6,8916,8916,8916,831,743,612,7932,6876,5304,661,573,442,24,21,16
서울 서초구 00동,. , 50 개,  개,00 대, 만원, . ,0,2억2천,-선택사항- ,-선택사항-     ,0,22000,50,0,0,45,22000,45,166,2.8,3.2,4.3,9348,9348,9348,870,779,641,7908,6816,5160,659,568,430,35,30,23
서울 도봉구 00동,390, 40 개,  개,32 대,4000 만원,210,0,9000,-선택사항- ,-선택사항-     ,4000,9000,40,210,0,32,9000,32,133,23.4,62.5,-37.5,2124,2124,2124,197,177,145,384,144,-240,32,12,-20,4,1,-2
서울 관악구 00동,0, 37 개,  개,00 대,6000 만원,340,0,17000,-선택사항- ,-선택사항-     ,6000,17000,37,340,0,33,17000,33,123,5.1,6.1,8.6,4668,4668,4668,435,389,320,3348,2796,1968,279,233,164,19,16,11
서울 강남구 역삼동,303.14, 37 개, 18 개,00 대,5000 만원,638,0,23000,-선택사항- ,-선택사항-     ,5000,23000,37,638,0,48,23000,48,123,3.5,4.1,5.4,7644,7644,7644,712,637,525,6492,5592,4248,541,466,354,28,24,18
서울 종로구 관철동,288.58, 37 개, 37 개,00 대,11000 만원,594,0,30000,-선택사항- ,-선택사항-     ,11000,30000,37,594,0,42,30000,42,123,4.3,4.9,6.4,8064,8064,8064,752,672,554,7044,6084,4668,587,507,389,23,20,15
서울 서초구 00동,0, 27 개,  개,00 대, 만원,200,0,3000,-선택사항- ,-선택사항-     ,0,3000,27,200,0,45,3000,45,90,-14.7,-8.6,-5.2,1272,1272,1272,118,106,87,-204,-348,-576,-17,-29,-48,-6,-11,-19
서울 강남구 00동,303.14, 35 개, 18 개,00 대,5000 만원,638, 포함 ,25000,-선택사항- ,-선택사항-     ,5000,25000,35,638,0,48,25000,48,116,3.3,3.8,5,8496,8496,8496,791,708,583,7524,6528,5028,627,544,419,30,26,20
서울 송파구 잠실본동,468.99, 40 개, 40 개,00 대,6천 만원,735, 무 ,4억,-선택사항- ,-선택사항-     ,6000,40000,40,735,0,42,40000,42,133,2.8,3.2,4.1,14448,14448,14448,1345,1204,991,14040,12348,9792,1170,1029,816,35,30,24
서울 중구 청계천로,358.02, 32 개, 32 개,00 대,5천 만원,558, 무 ,3억2천,-선택사항- ,-선택사항-     ,5000,32000,32,558,0,41,32000,41,106,2.9,3.3,4.2,11472,11472,11472,1068,956,787,11052,9708,7680,921,809,640,34,30,24
서울 종로구 00동,166.65,  개,  개,00 대,4천 만원,250, 사용량에따라 ,2억2천,-선택사항- ,-선택사항-     ,4000,22000,0,250,0,42,22000,41,106,2.9,3.3,4.2,11472,11472,11472,1068,956,787,11052,9708,7680,921,809,640,34,30,24
서울 영등포구 대방동,151.9, 40 개, 25 개,2 대,2천5백 만원,330, 없음 ,1억9천5백,-선택사항- ,-선택사항-     ,2500,19500,40,330,0,38,19500,38,133,3.2,3.8,5,7224,7224,7224,672,602,495,6012,5172,3888,501,431,324,30,26,19
서울 성북구 00동,193.2, 35 개, 6 개,00 대,4천 만원,230, 없음 ,7천,-선택사항- ,-선택사항-     ,4000,7000,35,230,0,37,7000,37,116,-16.7,-12.4,-8.8,1272,1272,1272,118,106,87,-420,-564,-792,-35,-47,-66,-6,-8,-11
